Client ID,Ciudad,Categoría de dispositivo,Marca del dispositivo móvil,Navegador,producto,Dominio del emplazamiento,Sistema operativo,Número de páginas vistas únicas,Sesiones,leadDrakkar (Goal 19 Completions),Transacciones,First billed
(other),(other),(other),(other),(other),(other),(other),(other),49760476,11889626,11593495,92536,76768
807021224.1545291615,Seville,mobile,Huawei,Chrome,trendly,mobileapp::2-com.pzar.loveimages2,Android,996,182,182,1,1
730963374.1559640558,Valladolid,mobile,Xiaomi,Chrome,playweez,mobileapp::2-com.game.solitaireclassics,Android,462,80,74,1,1
748604579.1549540586,Valladolid,mobile,Samsung,Samsung Internet,playweez,mobileapp::2-com.jdpapps.wordsearch,Android,311,57,53,2,2
378717055.1553896159,Valencia,mobile,Samsung,Samsung Internet,playweez,mobileapp::2-com.LoopGames.Domino,Android,300,60,60,2,1
662845361.1547329073,Valladolid,mobile,Huawei,Chrome,playweez,mobileapp::2-nd.cutejelly.fruit.farmdeluxe,Android,258,62,51,1,1
689185204.1506799814,Valladolid,mobile,Samsung,Samsung Internet,clicnscores,mobileapp::2-com.resultadosfutbol.mobile,Android,250,46,46,1,1
754278328.1559494872,Seville,mobile,LG,Chrome,clicnscores,mobileapp::2-com.resultadosfutbol.mobile,Android,230,43,43,2,2
125116782.1561921090,Valladolid,mobile,Alcatel,Chrome,playup,youtube.com,Android,220,45,45,1,1
937216763.1547901127,Madrid,mobile,LG,Chrome,unlimitedvideos,mobileapp::2-com.arrowshapes.pattern.lockscreen.screenlock.free,Android,180,59,59,1,1
916998932.1544897422,Seville,mobile,Huawei,Chrome,playweez,mobileapp::2-air.com.jogatina.domino.android,Android,179,32,32,1,1
203332891.1518285024,Madrid,mobile,Sony,Chrome,playweez,mobileapp::2-com.best.wordsearch.free,Android,175,55,55,1,1
886977975.1565354883,Seville,mobile,Samsung,Chrome,unlimitedvideos,mobileapp::2-com.callerscreen.color.phone.ringtone.flash,Android,165,30,30,1,1
579391521.1558774835,Valladolid,mobile,Huawei,Chrome,clicnscores,mobileapp::2-com.resultadosfutbol.mobile,Android,151,41,41,1,1
591040791.1541425128,Madrid,mobile,Samsung,Chrome,musiqradio,youtube.com,Android,140,28,28,1,1
181057778.1541615038,Madrid,mobile,Wiko,Chrome,clicnscores,mobileapp::2-com.resultadosfutbol.mobile,Android,137,37,36,1,1
976881839.1559867042,Valladolid,mobile,LG,Chrome,playup,mobileapp::2-com.themasterapp.musicadebachatagratis,Android,135,18,18,1,1
938811682.1559947758,Seville,mobile,Alcatel,Chrome,trendly,youtube.com,Android,134,25,25,1,1
443299860.1565679355,Valladolid,mobile,Samsung,Android Webview,unlimitedvideos,mobileapp::2-com.dywx.larkplayer,Android,134,23,23,1,0
430269365.1566075686,Valencia,mobile,(not set),Firefox,cocinatop,mobileapp::2-com.e3games.wordsearchspanish,Android,133,26,26,2,2
511484164.1555253746,Madrid,mobile,LG,Chrome,clicnscores,mobileapp::2-com.resultadosfutbol.mobile,Android,131,27,24,1,1
845089063.1555684690,Valencia,mobile,Samsung,Chrome,playup,youtube.com,Android,128,17,17,1,1
372080853.1560599367,Valladolid,mobile,BQ,Chrome,trendly,mobileapp::2-com.lotoluck.lotoluck,Android,128,35,35,1,1
614040344.1554038955,Madrid,mobile,Wiko,Chrome,taromancia,horoscoponegro.com,Android,125,9,2,1,0
643287441.1561919524,Valladolid,mobile,Samsung,Samsung Internet,clicnscores,youtube.com,Android,124,24,24,1,1
168932276.1555733578,Seville,mobile,Samsung,Samsung Internet,trendly,youtube.com,Android,121,27,27,1,1
322329645.1566649589,Barcelona,mobile,Huawei,Chrome,playup,youtube.com,Android,119,26,26,2,2
253787859.1550251363,Seville,mobile,Samsung,Chrome,playweez,mobileapp::2-com.LoopGames.Domino,Android,119,38,38,1,1
822148503.1538124549,Barcelona,mobile,Samsung,Samsung Internet,playup,youtube.com,Android,116,17,17,2,2
707149385.1547656972,Madrid,mobile,Apple,Safari,playweez,mundoprimaria.com,iOS,115,22,12,1,1
725848010.1529685149,Barcelona,mobile,Samsung,Samsung Internet,clicnscores,vilaweb.cat,Android,115,22,22,2,2
197582917.1557798075,Alcala de Henares,mobile,LG,Chrome,playup,mobileapp::2-com.freeradioCuba,Android,112,27,27,1,0
945916838.1556700957,Valladolid,mobile,Samsung,Samsung Internet,trendly,mobileapp::2-es.eltiempo.weatherapp,Android,112,21,21,1,1
336832055.1564763943,Valladolid,mobile,Huawei,Chrome,playweez,mobileapp::2-paint.by.number.pixel.art.coloring.drawing.puzzle,Android,110,22,22,1,0
271403917.1553793800,Valladolid,mobile,Huawei,Chrome,playup,youtube.com,Android,110,29,29,1,1
601722590.1534278632,Valladolid,mobile,Huawei,Chrome,playweez,lwarb.com,Android,108,19,11,1,1
340245017.1564601615,Madrid,mobile,Huawei,Chrome,playup,youtube.com,Android,105,17,16,1,1
470214022.1556983383,Seville,mobile,Samsung,Chrome,trendly,youtube.com,Android,105,21,21,2,2
499867606.1565465249,Valladolid,mobile,Apple,Safari,trendly,youtube.com,iOS,104,19,19,1,1
727394848.1565559873,Barcelona,mobile,Motorola,Chrome,clicnscores,mobileapp::2-game.puzzle.blockpuzzle,Android,101,29,25,1,1
636728964.1566727992,Valladolid,mobile,Huawei,Chrome,playup,mobileapp::2-com.bitmango.go.unblockcasual,Android,99,21,21,1,0
798596635.1570653581,Valencia,mobile,Samsung,Samsung Internet,clicnscores,youtube.com,Android,99,18,18,1,0
