clientId,total_predicted_purchases
329195480.1570818886,2
726145331.1572425403,2
988708303.1571746031,2
336230133.1572457675,2
818956969.1572429008,2
451445991.1572453719,2
498827431.1572472712,2
633254212.1547062455,2
196973820.1572435559,2
512571765.1560455023,2
648384143.1572447324,2
880293609.1572450448,2
396898937.1572454149,2
863192502.1572461805,2
116104360.1569774396,2
463550974.1572117009,2
646753264.1572425903,2
862214038.1572469004,2
280654683.1572457317,2
331892364.1572452974,2
830536290.1572432428,2
785747886.1564477525,2
733425399.1567298761,2
903773323.1572472194,2
997334684.1572436744,2
462564509.1572450768,2
892607831.1572436010,2
831014979.1572458323,2
676317403.1569432580,2
716656239.1565294716,2
424961956.1572450557,2
387644278.1572451131,2
540813092.1572451015,2
221237816.1572471650,2
132941815.1572434930,2
717551183.1572458058,2
363218291.1572464127,2
230537436.1549960585,2
424245738.1572393221,2
874538745.1572396709,2
266216801.1572471981,2
188632347.1571855544,2
407220218.1572469150,2
147461269.1572436002,2
750337062.1572450006,2
314288558.1565417271,2
585472864.1572461775,2
454902359.1572461477,2
548050120.1572446707,2
950237765.1572425968,2
647821966.1572461528,2
653929294.1572464866,2
176772596.1563019894,2
919586956.1572425665,2
358857612.1572443883,2
341602073.1566839781,2
585732051.1511205492,2
679948498.1561221526,2
196849000.1572425906,2
929862317.1555362480,2
857363792.1572425745,2
546165240.1572464386,2
264636921.1567161616,1
322380907.1572452495,1
707144430.1522438741,1
526532303.1572438557,1
265371796.1572450494,1
400144859.1567171893,1
981218513.1520451836,1
426544614.1572450126,1
915266634.1572461273,1
947880420.1568623486,1
529926298.1572450434,1
546218964.1572423463,1
403881170.1571704834,1
178344849.1570909376,1
903465028.1572463578,1
683001846.1572412698,1
932183323.1572449452,1
430949367.1566675740,1
739297200.1572468207,1
641497279.1566079790,1
307189023.1572409583,1
354225096.1572427019,1
602619685.1569683561,1
954435661.1572455734,1
233449612.1572473840,1
349468773.1572456491,1
910284654.1572427174,1
613216849.1572462489,1
920464661.1570315618,1
224606880.1512873097,1
701607086.1572448314,1
756336839.1572033635,1
925767765.1572470258,1
603749167.1572439599,1
781510277.1572453207,1
478838411.1571074697,1
855131535.1538932343,1
875596296.1572414175,1
850518003.1572417845,1
445015659.1572468375,1
219253201.1564664274,1
989843701.1562978504,1
626791644.1568575729,1
159415549.1572420718,1
846639291.1565945424,1
627327409.1565086853,1
479103974.1572423595,1
403040207.1572449565,1
993072671.1572466896,1
692945287.1572425844,1
809948268.1572391441,1
949264649.1554837213,1
352372621.1570707657,1
768492283.1572422893,1
742237328.1572426029,1
877413628.1572428841,1
499010308.1572456260,1
424092509.1563858688,1
425989280.1562052772,1
426100667.1572467064,1
181235087.1572368556,1
521423200.1572427720,1
924440717.1572463829,1
769490856.1572423429,1
436006976.1572470424,1
141835208.1565369051,1
437515318.1572455245,1
829285422.1572449627,1
844916487.1572452013,1
187675366.1572437217,1
404150669.1563133310,1
363864843.1572426967,1
853070706.1565094092,1
949284497.1572393199,1
328364927.1572460683,1
947068533.1559087814,1
695870564.1572439164,1
691337140.1571951425,1
248180887.1571476037,1
141844859.1572437727,1
129061587.1572460622,1
628148238.1572448259,1
103530951.1571739434,1
481251597.1572431960,1
833752227.1557051964,1
197105258.1572474157,1
678466527.1572447647,1
669837682.1572406788,1
359891170.1563703072,1
862470748.1572427361,1
850955906.1572467238,1
484969748.1572424756,1
963850263.1572432425,1
692221350.1570385904,1
587410227.1572297117,1
232372030.1570484916,1
438309685.1572440648,1
576295589.1565894000,1
560378679.1566678884,1
390200767.1572452500,1
281297302.1572463621,1
538739346.1572453860,1
431083823.1542963104,1
978273714.1572452956,1
715777537.1572382478,1
125470009.1572433964,1
149649088.1572430019,1
752408127.1512677862,1
953604410.1572455158,1
699178287.1509487093,1
671750542.1572428408,1
413419123.1535059652,1
840386383.1572442910,1
915585217.1572463217,1
122396507.1550874701,1
495898626.1572459761,1
878914407.1572445274,1
384338512.1572464056,1
271389399.1572420720,1
539576829.1571378472,1
957508283.1572466309,1
483916810.1572440984,1
125954138.1551949340,1
769890813.1555158943,1
587385912.1572443323,1
509085112.1572449270,1
171564146.1572467671,1
500613559.1572449864,1
903609235.1572431549,1
357251035.1572426083,1
915102131.1572453069,1
457273472.1560806868,1
710217955.1572431562,1
425337627.1572427160,1
169829494.1565772695,1
945765688.1572473372,1
835929006.1566062492,1
669144523.1554373926,1
135689035.1572465804,1
778458539.1561349254,1
825189425.1572473478,1
411229466.1540561747,1
593029692.1572466213,1
958584522.1572453561,1
652341826.1572397628,1
742563854.1572475847,1
546882337.1572460051,1
821913065.1561728552,1
728881148.1572452842,1
860052979.1572434136,1
604050535.1572465870,1
102977835.1572286440,1
427732323.1572474721,1
565538454.1572439763,1
862207454.1572390012,1
843065104.1571680749,1
847137249.1567854377,1
602788437.1572443178,1
654441005.1572471418,1
653790029.1566933107,1
750030654.1572460951,1
780029771.1572441400,1
144502235.1572438125,1
240988026.1570605531,1
753577895.1564853247,1
796213359.1545683388,1
702894680.1572441502,1
748541609.1572475881,1
924956417.1572471299,1
966213845.1572453187,1
603274663.1572463735,1
363781521.1541943653,1
727316342.1572475116,1
216137914.1572469672,1
2052937436.1557092966,1
490469480.1572427098,1
814066479.1572273062,1
976804117.1572434045,1
550152637.1572428177,1
125017494.1572444282,1
494940451.1510924070,1
937029949.1572419446,1
747608417.1572466377,1
936808688.1545950115,1
956906003.1572372555,1
817924622.1572459705,1
117804360.1572466108,1
471860732.1572467225,1
851991368.1572463012,1
583461370.1567969321,1
310242279.1572434549,1
667188040.1572443663,1
188512457.1572437571,1
284008823.1572412162,1
986357725.1572442705,1
465107252.1547218167,0
