clientId,predicted_label,label,Record Count
154230082.1564394310,1,0,7
154230082.1564394310,0,0,5
775509454.1564387764,1,0,4
529926164.1555413513,1,1,4
266891486.1561490434,0,0,3
282611514.1555356673,1,1,3
2076330050.1556025103,1,0,3
161181758.1546959399,1,0,3
518992064.1554235146,1,0,3
775509454.1564387764,1,1,3
719642523.1558257794,1,1,3
177443093.1562414252,1,1,3
131419746.1552944143,1,1,2
105793481.1552216361,1,1,2
836340295.1562565561,1,0,2
840302515.1564403397,0,0,2
168191966.1561719547,0,0,2
226773503.1565887853,0,0,2
237224492.1557429920,1,1,2
545285247.1557677678,1,1,2
804758763.1546401594,1,1,2
881960938.1562911092,1,0,2
164212494.1560795678,1,1,2
397252109.1546771768,1,1,2
101660584.1550667972,0,0,2
704070927.1566644400,1,1,2
328695876.1550170900,0,0,2
229348898.1549627090,0,0,2
588891332.1550818725,1,0,2
532069082.1565456395,1,1,2
519950087.1557144100,1,1,2
743335130.1567134568,0,0,2
294003242.1566496423,0,0,2
923597979.1546798618,0,0,2
948964725.1540111827,0,0,2
176193061.1543596266,1,1,2
183810522.1551613481,0,0,2
105238422.1545660890,1,1,2
435440736.1565373542,1,0,2
578294632.1556867585,1,1,2
272014497.1543696671,1,1,2
470214022.1556983383,1,1,2
749045030.1559069578,1,1,2
385133635.1544822691,1,0,2
797497290.1546806302,1,1,2
997140999.1559514084,1,0,2
526975861.1561053981,0,0,2
551070747.1497882510,0,0,2
560614237.1561722450,1,0,2
517527007.1556343724,0,0,2
743772831.1529618060,0,0,2
313819752.1556803075,0,0,2
413272488.1550948349,1,0,2
407291775.1548445286,1,1,2
800986199.1546347286,0,0,2
267613279.1564780235,1,1,2
653376370.1564920676,0,0,2
684035291.1523717834,1,1,2
206221651.1548268115,1,0,2
292505746.1567603162,0,0,2
733211702.1548530056,1,1,2
125176371.1547993285,0,0,2
168487915.1569045010,0,0,2
528728333.1530008641,1,1,2
628907121.1552671446,1,1,2
833727305.1558436321,1,0,2
852284394.1541360451,0,0,2
835991739.1558360358,0,0,2
862761498.1548004696,1,1,2
635272576.1562752369,1,1,2
501205812.1560706851,0,0,2
662491033.1547496079,0,0,2
382693125.1511819456,1,1,2
103360240.1563396889,1,1,2
804432915.1552157978,1,0,2
530735793.1560873652,0,0,2
916512457.1561722320,0,0,2
761761995.1541875610,1,1,2
738807617.1560496081,1,1,2
212922532.1563994153,1,1,2
111187277.1562263153,0,0,2
892116130.1557440619,1,1,2
458311452.1561986207,0,0,2
2076330050.1556025103,1,1,2
989546287.1552511787,0,0,2
708359003.1550514404,1,1,2
246745768.1520198747,1,0,2
453665306.1551916587,0,0,2
520055010.1535711842,1,1,2
127924482.1508756824,1,1,2
622911116.1566583139,1,0,2
666277446.1567187898,0,0,2
803366514.1530556347,0,0,2
539830447.1568224248,1,0,2
