CUENTA,GA_CID,ID,SUBS_ID,FIRST_STATUS,STATUS
1,404616025.1560676482,115901157,03696c18030ca216fd9e00005d430c7f,ALTA,BAJA
1,578675990.1564523003,115913157,04f39b6c010ca701dbc800005d431dc7,ALTA,BAJA
0,,115897452,00df6bb4020ca6b2a9b700005d430538,INACT,BAJA
1,345037430.1564668308,115887457,009db5d4010caab38e8900005d42f19f,ALTA,BAJA
1,114254149.1564693986,115944818,03332ef0020ca707651300005d4355ee,INACT,BAJA
1,936714636.1564627857,115832773,0440415c030caa6a39ec00005d42539b,INACT,BAJA
1,584849422.1564660310,115874042,010cc9c4020ca15d91fd00005d42d26d,ALTA,BAJA
1,947577373.1551870007,115890923,037f15cc010ca086920100005d42f806,INACT,BAJA
1,180859854.1564675738,115902626,03d4a35c020ca6c2baf200005d430ebb,ALTA,BAJA
1,909956017.1564675535,115902131,05918020020ca88f4b8300005d430ddf,ALTA,ALTA
1,553555022.1564660600,115874569,026b9804020ca4e30b7300005d42d393,INACT,BAJA
1,269472170.1563808292,115939401,01b6735c030ca898de5200005d434bd2,ALTA,ALTA
1,528280913.1563045607,115896183,04c72adc010cab7b48aa00005d430271,ALTA,BAJA
1,845599219.1564607185,115831528,04f5ef20010cae87e17000005d4245fe,INACT,BAJA
1,422351040.1564040247,115944536,01e7de88020ca139284400005d435554,ALTA,ALTA
1,431633935.1564691926,115940510,038b1548010ca800113f00005d434de2,INACT,BAJA
1,240673479.1564648148,115851799,052f4284010caf708d8900005d42a2dc,ALTA,BAJA
1,918711160.1562139103,115891579,05537eb0020cad04719700005d42f8fd,ALTA,BAJA
1,204053896.1564615949,115825924,05f3f728010ca0f435ad00005d422517,ALTA,ALTA
1,683254357.1564667255,115885514,047bd7a8020cab6a0bb600005d42ed8c,ALTA,BAJA
1,666978536.1564616053,115826002,0394a748020ca54dfac400005d422586,INACT,BAJA
1,260201489.1555448344,115844137,05ed470c030caa26840d00005d42909b,ALTA,BAJA
1,909621455.1564668468,115887766,00f07058030caef7b03600005d42f250,INACT,BAJA
1,838005761.1551275422,115859281,03c67ac0010caaf1ab9700005d42b2db,ALTA,ALTA
1,494288490.1564650458,115856050,005d8d9c010cab24de4b00005d42abe8,ALTA,ALTA
1,108556377.1564678880,115911056,04a49d8c020ca17a291c00005d431b00,INACT,ALTA
1,583901777.1564616987,115826725,04ad1138010cace0eaf600005d422931,ALTA,ALTA
1,177891066.1564681665,115918071,019dfb4c010caa4856b000005d4325dd,ALTA,BAJA
1,838321788.1564468620,115829317,0561803c030ca47cf27a00005d423713,ALTA,ALTA
1,229314139.1564659193,115872073,0019319c030cafeec13600005d42ce17,INACT,BAJA
1,400809800.1558816300,115884532,0519698c030ca5a24a9600005d42eb25,INACT,INACT
1,996492645.1547487431,115924270,0255ff1c010caf87d8b600005d4330cc,ALTA,ALTA
1,120745599.1564681358,115917292,02d46cbc030ca6bf25bb00005d432497,INACT,BAJA
1,796226190.1564638903,115837352,056728ac020cacf59d7d00005d427ec5,ALTA,BAJA
1,399832504.1548972347,115888141,0360d670020ca8704a8100005d42f328,ALTA,BAJA
1,235507521.1564691815,115940294,0377d780020cab14045d00005d434d78,ALTA,ALTA
1,971049345.1564618622,115827984,03d0f8b0030ca4aa057f00005d422f8d,ALTA,ALTA
1,146235828.1564674639,115900261,0202a40c030ca515d8bc00005d430a69,INACT,BAJA
1,596826587.1564614430,115824312,03efdd48020ca97439cf00005d421f2e,INACT,BAJA
1,132875578.1564665937,115883391,00bbd6b8010cab9fec5100005d42e85e,ALTA,BAJA
1,620216706.1564690558,115937598,056badb4010ca96d261300005d434898,ALTA,BAJA
1,848402635.1564612892,115822429,036e690c010ca05d2e8c00005d421928,ALTA,BAJA
1,239631095.1564638136,115836835,03f55de0030ca271419e00005d427c2a,INACT,INACT
1,119500892.1564670839,115892677,050eeb38010ca568ee1e00005d42fb83,ALTA,BAJA
1,616128706.1564409482,115819610,00dc34a8020ca01fb39300005d42124f,INACT,BAJA
1,507012596.1564684705,115924760,036d55a8030cac2a257600005d4331b2,INACT,BAJA
0,,115856899,04ba54ec030ca6d529f800005d42aded,ALTA,BAJA
1,1526571841643.8210476504241209,115901669,03e42b24030ca1e051e300005d430d34,ALTA,BAJA
1,894160669.1557272508,115849158,053fb1f0030ca2107d7000005d429d49,ALTA,ALTA
1,610757241.1564669498,115889866,00c6dc34010ca6d9009400005d42f647,ALTA,INACT
1,269432446.1564640565,115934669,00531268030cabc4e24800005d434378,ALTA,BAJA
1,333886330.1564687968,115931887,04068e44010ca6c09df000005d433e89,ALTA,BAJA
