cid_subs,Ciudad,Marca del dispositivo móvil,STATUS,Categoría de dispositivo,provider,cid_billing,billing_fb,billing_billed,subs_count,Número de visitas a páginas,indexIN
404616025-1560676482,Valladolid,Samsung,BAJA,mobile,google,404616025-1560676482,1,2,1,6,0
578675990-1564523003,Seville,LG,BAJA,mobile,google,578675990-1564523003,1,6,1,11,1
345037430-1564668308,Seville,Apple,BAJA,mobile,google,345037430-1564668308,1,1,1,8,1
333886330-1564687968,Madrid,Apple,BAJA,mobile,google,333886330-1564687968,1,1,1,38,3
269432446-1564640565,Madrid,Meizu,BAJA,mobile,google,269432446-1564640565,1,6,1,9,1
584849422-1564660310,Valladolid,LG,BAJA,mobile,google,584849422-1564660310,1,2,1,12,1
610757241-1564669498,Barcelona,Lenovo,INACT,mobile,google,610757241-1564669498,1,6,1,17,1
180859854-1564675738,Zaragoza,Apple,BAJA,mobile,google,180859854-1564675738,1,1,1,8,1
909956017-1564675535,Valencia,Huawei,ALTA,mobile,google,909956017-1564675535,1,13,1,10,1
894160669-1557272508,Valencia,Apple,ALTA,mobile,google,894160669-1557272508,1,13,1,8,0
269472170-1563808292,Valladolid,Huawei,ALTA,mobile,google,269472170-1563808292,1,13,1,9,1
528280913-1563045607,Valladolid,LG,BAJA,mobile,google,528280913-1563045607,1,1,1,23,1
1526571841643-8210476504241209,Barcelona,Alcatel,BAJA,mobile,google,1526571841643-8210476504241209,1,4,1,3,0
422351040-1564040247,Valladolid,Samsung,ALTA,mobile,google,422351040-1564040247,1,13,1,28,3
119500892-1564670839,Valladolid,Xiaomi,BAJA,mobile,google,119500892-1564670839,1,4,1,3,0
240673479-1564648148,Barcelona,Samsung,BAJA,mobile,google,240673479-1564648148,1,1,1,16,1
918711160-1562139103,Valencia,Huawei,BAJA,mobile,google,918711160-1562139103,1,1,1,8,1
204053896-1564615949,Valencia,Apple,ALTA,mobile,google,204053896-1564615949,1,13,1,3,1
683254357-1564667255,Valencia,LG,BAJA,mobile,google,683254357-1564667255,1,1,1,10,1
848402635-1564612892,Madrid,LG,BAJA,mobile,google,848402635-1564612892,1,1,1,14,1
260201489-1555448344,Valladolid,Samsung,BAJA,mobile,google,260201489-1555448344,1,5,1,5,1
620216706-1564690558,Valladolid,LG,BAJA,mobile,google,620216706-1564690558,1,1,1,4,0
838005761-1551275422,Seville,LG,ALTA,mobile,google,838005761-1551275422,1,13,1,3,0
494288490-1564650458,Valladolid,LG,ALTA,mobile,google,494288490-1564650458,1,13,1,9,1
132875578-1564665937,Madrid,Samsung,BAJA,mobile,google,132875578-1564665937,1,1,1,8,2
583901777-1564616987,Barcelona,Samsung,ALTA,mobile,google,583901777-1564616987,1,13,1,12,1
177891066-1564681665,Seville,Samsung,BAJA,mobile,google,177891066-1564681665,1,1,1,10,1
838321788-1564468620,Valencia,Huawei,ALTA,mobile,google,838321788-1564468620,1,12,1,14,1
971049345-1564618622,Valladolid,(not set),ALTA,mobile,google,971049345-1564618622,1,13,1,10,1
235507521-1564691815,Madrid,Apple,ALTA,mobile,google,235507521-1564691815,1,13,1,8,0
996492645-1547487431,Valladolid,(not set),ALTA,mobile,google,996492645-1547487431,1,13,1,10,1
399832504-1548972347,Valladolid,Apple,BAJA,mobile,google,399832504-1548972347,1,1,1,2,0
796226190-1564638903,Valladolid,Apple,BAJA,mobile,google,796226190-1564638903,1,1,1,21,1
120745599-1564681358,Seville,Huawei,BAJA,mobile,google,120745599-1564681358,0,0,1,16,1
400809800-1558816300,Alcala de Henares,Samsung,INACT,mobile,google,400809800-1558816300,0,2,1,21,3
229314139-1564659193,Valencia,Samsung,BAJA,mobile,google,229314139-1564659193,0,0,1,14,2
146235828-1564674639,Valladolid,Apple,BAJA,mobile,google,146235828-1564674639,0,0,1,4,0
596826587-1564614430,Seville,Huawei,BAJA,mobile,google,596826587-1564614430,0,0,1,3,0
108556377-1564678880,Seville,(not set),ALTA,mobile,google,108556377-1564678880,0,3,1,36,1
909621455-1564668468,Seville,(not set),BAJA,mobile,google,909621455-1564668468,0,0,1,12,1
666978536-1564616053,Seville,Samsung,BAJA,mobile,google,666978536-1564616053,0,0,1,3,0
239631095-1564638136,Seville,(not set),INACT,mobile,google,239631095-1564638136,0,2,1,9,0
431633935-1564691926,Valladolid,Samsung,BAJA,mobile,google,431633935-1564691926,0,0,1,4,0
616128706-1564409482,Seville,(not set),BAJA,mobile,google,616128706-1564409482,0,0,1,6,1
507012596-1564684705,Madrid,(not set),BAJA,mobile,google,507012596-1564684705,0,0,1,16,1
845599219-1564607185,Madrid,Xiaomi,BAJA,mobile,google,845599219-1564607185,0,0,1,16,1
553555022-1564660600,(not set),Oukitel,BAJA,mobile,google,553555022-1564660600,0,0,1,13,1
947577373-1551870007,Madrid,Xiaomi,BAJA,mobile,google,947577373-1551870007,0,0,1,13,1
936714636-1564627857,Madrid,(not set),BAJA,mobile,google,936714636-1564627857,0,0,1,22,2
114254149-1564693986,Madrid,Samsung,BAJA,mobile,google,114254149-1564693986,0,0,1,18,1
